Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2018,Mehed ja naised,Kogu Eesti,1319133,905677,398542,328864,23310,11598,7635,1926,2478,1694,1950,1928,2178,1566,1096,14914
2018,Mehed ja naised,Harju maakond,589610,352939,224721,183276,15285,7249,3066,1275,1069,994,1639,1201,934,1126,840,11950
2018,Mehed ja naised,Hiiu maakond,9387,9210,145,61,17,9,15,0,6,1,1,2,7,0,0,32
2018,Mehed ja naised,Ida-Viru maakond,138266,24333,113550,102652,3273,2930,1178,441,255,327,122,252,351,194,111,383
2018,Mehed ja naised,Jõgeva maakond,29119,26400,2657,2182,151,61,132,10,20,4,2,16,18,8,0,62
2018,Mehed ja naised,Järva maakond,30661,29056,1522,757,305,33,195,5,25,32,3,13,35,15,8,83
2018,Mehed ja naised,Lääne maakond,20646,18165,2338,1722,219,80,73,22,26,7,4,29,25,2,2,143
2018,Mehed ja naised,Lääne-Viru maakond,59791,51699,7882,5906,703,246,475,18,46,49,15,73,51,23,29,210
2018,Mehed ja naised,Põlva maakond,25290,24110,1138,815,136,14,57,4,12,7,4,5,9,2,4,42
2018,Mehed ja naised,Pärnu maakond,85756,76702,8518,6165,857,213,430,47,145,48,20,76,105,33,14,536
2018,Mehed ja naised,Rapla maakond,33299,31363,1835,1093,210,69,188,11,21,10,2,14,48,3,14,101
2018,Mehed ja naised,Saare maakond,33231,32535,576,264,70,16,107,0,13,8,2,11,17,0,1,120
2018,Mehed ja naised,Tartu maakond,151122,126395,24047,17533,1246,389,1153,63,265,156,104,160,485,122,66,680
2018,Mehed ja naised,Valga maakond,28669,23143,5295,3637,453,181,97,16,483,24,9,36,46,22,3,231
2018,Mehed ja naised,Viljandi maakond,46782,44671,2017,1144,239,61,242,10,46,19,8,32,29,11,1,94
2018,Mehed ja naised,Võru maakond,36133,34206,1822,1411,123,39,61,2,44,5,5,8,15,4,2,105
2018,Mehed ja naised,Maakond teadmata,1371,750,479,246,23,8,166,2,2,3,10,0,3,1,1,142
2018,Mehed,Kogu Eesti,621084,428497,182722,148199,11284,4853,3596,858,1217,714,1030,913,1162,874,679,9865
2018,Mehed,Harju maakond,272813,161607,103315,82147,7600,3155,1588,577,508,425,855,568,538,619,509,7891
2018,Mehed,Hiiu maakond,4770,4669,77,25,11,8,8,0,2,0,0,0,3,0,0,24
2018,Mehed,Ida-Viru maakond,63668,12001,51372,46490,1385,1140,530,192,137,141,72,138,171,114,77,295
2018,Mehed,Jõgeva maakond,14188,12881,1260,1043,65,23,65,4,8,3,2,7,11,5,0,47
2018,Mehed,Järva maakond,14925,14133,731,327,157,16,96,1,17,20,2,6,20,11,2,61
2018,Mehed,Lääne maakond,9974,8778,1103,791,94,29,39,7,15,3,2,16,19,1,2,93
2018,Mehed,Lääne-Viru maakond,28863,25106,3611,2698,320,92,204,4,23,19,11,34,28,13,23,146
2018,Mehed,Põlva maakond,12651,12071,557,385,70,4,28,1,7,5,2,3,5,2,3,23
2018,Mehed,Pärnu maakond,40573,36270,3905,2763,404,90,227,20,63,15,10,35,47,21,11,398
2018,Mehed,Rapla maakond,16538,15564,895,530,110,24,88,5,9,4,0,6,23,3,5,79
2018,Mehed,Saare maakond,16373,15992,301,123,39,6,64,0,4,4,1,4,10,0,0,80
2018,Mehed,Tartu maakond,70819,59251,11213,8017,624,149,436,38,130,55,51,71,240,66,41,355
2018,Mehed,Valga maakond,13942,11316,2468,1651,224,75,51,5,249,9,7,13,24,10,3,158
2018,Mehed,Viljandi maakond,22600,21628,907,478,110,23,111,3,19,7,6,10,15,6,1,65
2018,Mehed,Võru maakond,17755,16866,820,604,63,17,26,0,26,2,4,2,6,3,2,69
2018,Mehed,Maakond teadmata,632,364,187,127,8,2,35,1,0,2,5,0,2,0,0,81
2018,Naised,Kogu Eesti,698049,477180,215820,180665,12026,6745,4039,1068,1261,980,920,1015,1016,692,417,5049
2018,Naised,Harju maakond,316797,191332,121406,101129,7685,4094,1478,698,561,569,784,633,396,507,331,4059
2018,Naised,Hiiu maakond,4617,4541,68,36,6,1,7,0,4,1,1,2,4,0,0,8
2018,Naised,Ida-Viru maakond,74598,12332,62178,56162,1888,1790,648,249,118,186,50,114,180,80,34,88
2018,Naised,Jõgeva maakond,14931,13519,1397,1139,86,38,67,6,12,1,0,9,7,3,0,15
2018,Naised,Järva maakond,15736,14923,791,430,148,17,99,4,8,12,1,7,15,4,6,22
2018,Naised,Lääne maakond,10672,9387,1235,931,125,51,34,15,11,4,2,13,6,1,0,50
2018,Naised,Lääne-Viru maakond,30928,26593,4271,3208,383,154,271,14,23,30,4,39,23,10,6,64
2018,Naised,Põlva maakond,12639,12039,581,430,66,10,29,3,5,2,2,2,4,0,1,19
2018,Naised,Pärnu maakond,45183,40432,4613,3402,453,123,203,27,82,33,10,41,58,12,3,138
2018,Naised,Rapla maakond,16761,15799,940,563,100,45,100,6,12,6,2,8,25,0,9,22
2018,Naised,Saare maakond,16858,16543,275,141,31,10,43,0,9,4,1,7,7,0,1,40
2018,Naised,Tartu maakond,80303,67144,12834,9516,622,240,717,25,135,101,53,89,245,56,25,325
2018,Naised,Valga maakond,14727,11827,2827,1986,229,106,46,11,234,15,2,23,22,12,0,73
2018,Naised,Viljandi maakond,24182,23043,1110,666,129,38,131,7,27,12,2,22,14,5,0,29
2018,Naised,Võru maakond,18378,17340,1002,807,60,22,35,2,18,3,1,6,9,1,0,36
2018,Naised,Maakond teadmata,739,386,292,119,15,6,131,1,2,1,5,0,1,1,1,61
2019,Mehed ja naised,Kogu Eesti,1324820,907628,399782,328299,23665,11506,7636,1929,2693,1653,1921,1979,2238,1583,1168,17410
2019,Mehed ja naised,Harju maakond,598059,356560,227562,184600,15607,7232,3185,1286,1174,974,1611,1260,971,1145,878,13937
2019,Mehed ja naised,Hiiu maakond,9387,9205,149,62,16,9,16,0,6,1,1,1,10,0,0,33
2019,Mehed ja naised,Ida-Viru maakond,136240,23852,112012,101248,3243,2865,1141,435,257,320,125,251,342,190,114,376
2019,Mehed ja naised,Jõgeva maakond,28734,26085,2588,2139,146,57,119,10,20,4,1,17,16,9,0,61
2019,Mehed ja naised,Järva maakond,30286,28661,1518,748,321,31,189,5,32,28,3,11,31,16,8,107
2019,Mehed ja naised,Lääne maakond,20507,18024,2329,1702,212,82,72,22,25,7,4,27,27,2,2,154
2019,Mehed ja naised,Lääne-Viru maakond,59325,51413,7684,5757,691,233,451,18,46,46,15,73,48,21,30,228
2019,Mehed ja naised,Põlva maakond,25006,23819,1151,826,134,13,56,6,15,6,4,3,11,2,4,36
2019,Mehed ja naised,Pärnu maakond,85938,76861,8403,6057,856,215,402,45,153,50,21,70,110,32,15,674
2019,Mehed ja naised,Rapla maakond,33311,31342,1873,1118,226,64,189,10,24,9,3,15,38,3,15,96
2019,Mehed ja naised,Saare maakond,33108,32395,582,250,71,15,110,1,15,8,2,12,20,0,1,131
